,use
2018-08-18 00:00:00,6230.4854
2018-08-18 01:00:00,6064.5967
2018-08-18 02:00:00,5928.49
2018-08-18 03:00:00,5882.3013
2018-08-18 04:00:00,5950.5234
2018-08-18 05:00:00,6104.0024
2018-08-18 06:00:00,6282.38
2018-08-18 07:00:00,6432.13
2018-08-18 08:00:00,6532.5205
2018-08-18 09:00:00,6595.8936
2018-08-18 10:00:00,6651.4727
2018-08-18 11:00:00,6729.555
2018-08-18 12:00:00,6853.023
2018-08-18 13:00:00,7033.0405
2018-08-18 14:00:00,7264.9507
2018-08-18 15:00:00,7525.2
2018-08-18 16:00:00,7773.6797
2018-08-18 17:00:00,7964.31
2018-08-18 18:00:00,8060.093
2018-08-18 19:00:00,8043.2646
2018-08-18 20:00:00,7914.0454
2018-08-18 21:00:00,7681.1514
2018-08-18 22:00:00,7353.0093
2018-08-18 23:00:00,6935.6
2018-08-19 00:00:00,6649.5747
2018-08-19 01:00:00,6509.6885
2018-08-19 02:00:00,6385.318
2018-08-19 03:00:00,6344.959
2018-08-19 04:00:00,6419.8813
2018-08-19 05:00:00,6582.7495
2018-08-19 06:00:00,6772.431
2018-08-19 07:00:00,6933.333
2018-08-19 08:00:00,7042.29
2018-08-19 09:00:00,7109.722
2018-08-19 10:00:00,7163.539
2018-08-19 11:00:00,7232.9146
2018-08-19 12:00:00,7339.8647
2018-08-19 13:00:00,7495.696
2018-08-19 14:00:00,7697.8047
2018-08-19 15:00:00,7926.8213
2018-08-19 16:00:00,8148.042
2018-08-19 17:00:00,8320.1045
2018-08-19 18:00:00,8408.246
2018-08-19 19:00:00,8394.052
2018-08-19 20:00:00,8275.432
2018-08-19 21:00:00,8058.772
2018-08-19 22:00:00,7750.9443
2018-08-19 23:00:00,7357.275
2018-08-20 00:00:00,7109.548
2018-08-20 01:00:00,7000.1313
2018-08-20 02:00:00,6890.589
2018-08-20 03:00:00,6860.3853
2018-08-20 04:00:00,6948.8516
2018-08-20 05:00:00,7129.577
2018-08-20 06:00:00,7339.2783
2018-08-20 07:00:00,7519.1865
2018-08-20 08:00:00,7642.791
2018-08-20 09:00:00,7717.7627
2018-08-20 10:00:00,7769.889
2018-08-20 11:00:00,7826.334
2018-08-20 12:00:00,7907.3164
2018-08-20 13:00:00,8023.78
2018-08-20 14:00:00,8175.842
2018-08-20 15:00:00,8350.798
2018-08-20 16:00:00,8523.41
2018-08-20 17:00:00,8661.28
2018-08-20 18:00:00,8734.252
2018-08-20 19:00:00,8722.681
2018-08-20 20:00:00,8619.481
2018-08-20 21:00:00,8425.866
2018-08-20 22:00:00,8145.4253
2018-08-20 23:00:00,7782.2656
2018-08-21 00:00:00,7577.995
2018-08-21 01:00:00,7500.9287
2018-08-21 02:00:00,7405.345
2018-08-21 03:00:00,7383.65
2018-08-21 04:00:00,7484.183
2018-08-21 05:00:00,7680.4556
2018-08-21 06:00:00,7906.0356
2018-08-21 07:00:00,8099.043
2018-08-21 08:00:00,8230.26
2018-08-21 09:00:00,8305.093
2018-08-21 10:00:00,8347.344
2018-08-21 11:00:00,8382.162
2018-08-21 12:00:00,8428.062
2018-08-21 13:00:00,8495.885
2018-08-21 14:00:00,8588.836
2018-08-21 15:00:00,8701.226
2018-08-21 16:00:00,8817.665
2018-08-21 17:00:00,8915.253
2018-08-21 18:00:00,8969.129
2018-08-21 19:00:00,8958.875
2018-08-21 20:00:00,8872.206
2018-08-21 21:00:00,8704.343
2018-08-21 22:00:00,8454.672
2018-08-21 23:00:00,8125.299
2018-08-22 00:00:00,7996.7915
2018-08-22 01:00:00,7909.9907
2018-08-22 02:00:00,7886.1714
2018-08-22 03:00:00,8037.9775
2018-08-22 04:00:00,8355.066
2018-08-22 05:00:00,8748.2295
2018-08-22 06:00:00,9107.49
2018-08-22 07:00:00,9358.536
2018-08-22 08:00:00,9488.989
2018-08-22 09:00:00,9531.162
2018-08-22 10:00:00,9527.02
2018-08-22 11:00:00,9507.114
2018-08-22 12:00:00,9489.443
2018-08-22 13:00:00,9485.728
2018-08-22 14:00:00,9504.328
2018-08-22 15:00:00,9548.1875
2018-08-22 16:00:00,9611.694
2018-08-22 17:00:00,9680.057
2018-08-22 18:00:00,9732.21
2018-08-22 19:00:00,9745.849
2018-08-22 20:00:00,9702.086
2018-08-22 21:00:00,9587.688
2018-08-22 22:00:00,9394.307
2018-08-22 23:00:00,9117.387
2018-08-23 00:00:00,9032.993
2018-08-23 01:00:00,9157.868
2018-08-23 02:00:00,9273.785
2018-08-23 03:00:00,9447.144
2018-08-23 04:00:00,9693.137
2018-08-23 05:00:00,9940.098
2018-08-23 06:00:00,10105.061
2018-08-23 07:00:00,10160.007
2018-08-23 08:00:00,10133.52
2018-08-23 09:00:00,10070.799
2018-08-23 10:00:00,10002.794
2018-08-23 11:00:00,9943.736
2018-08-23 12:00:00,9902.085
2018-08-23 13:00:00,9886.7705
2018-08-23 14:00:00,9904.545
2018-08-23 15:00:00,9954.197
2018-08-23 16:00:00,10023.777
2018-08-23 17:00:00,10092.762
2018-08-23 18:00:00,10137.575
2018-08-23 19:00:00,10137.393
2018-08-23 20:00:00,10077.428
2018-08-23 21:00:00,9948.748
2018-08-23 22:00:00,9746.197
2018-08-23 23:00:00,9466.357
2018-08-24 00:00:00,9386.125
2018-08-24 01:00:00,9484.116
2018-08-24 02:00:00,9539.336
2018-08-24 03:00:00,9642.543
